title,category,venue_name,venue_map_url,price_text,tickets_url,detail_url,description,duration_minutes,price_min,price_max,venue_lat,venue_lng,date,time,language,id,price_currency
Ek is nie Danie,,,,,https://www.quicket.co.za/events/319747-ek-is-nie-danie?preview=t#/,https://woordfees.co.za/program/ek-is-nie-danie/,,,,,,,,,AFR,ek-is-nie-danie,
Ek koop my eie blomme,,,,,https://www.quicket.co.za/events/319751-ek-koop-my-eie-blomme?preview=t#/,https://woordfees.co.za/program/ek-koop-my-eie-blomme/,,,,,,,,,AFR,ek-koop-my-eie-blomme,
Ek sou kon doen met ’n miljoen: Alternatiewe beleggings: Wat werk buite die boks?,,,,,,https://woordfees.co.za/program/ek-sou-kon-doen-met-n-miljoen-alternatiewe-beleggings-wat-werk-buite-die-boks/,,,,,,,,,AFR,ek-sou-kon-doen-met-n-miljoen-alternatiewe-beleggings-wat-werk-buite-die-boks,
Ek sou kon doen met ’n miljoen: Beleggings: Hoe word ek geld se baas?,,,,,,https://woordfees.co.za/program/ek-sou-kon-doen-met-n-miljoen-beleggings-hoe-word-ek-geld-se-baas/,,,,,,,,,AFR,ek-sou-kon-doen-met-n-miljoen-beleggings-hoe-word-ek-geld-se-baas,
Ek sou kon doen met ’n miljoen: Kripto: ’n Piramideskema of die nuwe monetêre stelsel?,,,,,,https://woordfees.co.za/program/ek-sou-kon-doen-met-n-miljoen-kripto-n-piramideskema-of-die-nuwe-monetere-stelsel/,,,,,,,,,AFR,ek-sou-kon-doen-met-n-miljoen-kripto-n-piramideskema-of-die-nuwe-monetêre-stelsel,
Elogio de la Danza/   In Praise of Dance,,,,,https://www.quicket.co.za/events/318532-elogio-de-la-danza/?preview=t,https://woordfees.co.za/program/elogio-de-la-danza-in-praise-of-dance/,,,,,,,,,AFR,elogio-de-la-danza-in-praise-of-dance,
Elvis Blue: Musiek vir die langpad,,,,,https://www.quicket.co.za/events/319658-elvis-blue-musiek-vir-die-langpad?preview=t#/,https://woordfees.co.za/program/elvis-blue-musiek-vir-die-langpad/,,,,,,,,,AFR,elvis-blue-musiek-vir-die-langpad,
Erfdeel,,,,,,https://woordfees.co.za/program/erfdeel/,,,,,,,,,AFR,erfdeel,
Evita @ 90,,,,,https://www.quicket.co.za/events/318566-evita-90/?preview=t,https://woordfees.co.za/program/evita-90/,,,,,,,,,AFR,evita-90,
FEDA-wenner,,,,,https://www.quicket.co.za/events/318672-feda-the-story-of-herself/?preview=t,https://woordfees.co.za/program/feda-wenner/,,,,,,,,,AFR,feda-wenner,
Fees van die Woord,,,,,,https://woordfees.co.za/program/fees-van-die-woord/,,,,,,,,,AFR,fees-van-die-woord,
Feeskunstenaars: Rondleiding,,,,,,https://woordfees.co.za/program/feeskunstenaars-rondleiding/,,,,,,,,,AFR,feeskunstenaars-rondleiding,
Feeskunstenaars: Uitstalling,,,,,,https://woordfees.co.za/program/feeskunstenaars-uitstalling/,,,,,,,,,AFR,feeskunstenaars-uitstalling,
Filmmaakwerksessie met Pluto Panoussis: Dignity in Disgrace,,,,,,https://woordfees.co.za/program/filmmaakwerksessie-met-pluto-panoussis-dignity-in-disgrace/,,,,,,,,,AFR,filmmaakwerksessie-met-pluto-panoussis-dignity-in-disgrace,
Frank Opperman: Oppermanaf,,,,,https://www.quicket.co.za/events/318660-frank-opperman-opperman-af/?preview=t,https://woordfees.co.za/program/frank-opperman-oppermanaf/,,,,,,,,,AFR,frank-opperman-oppermanaf,
From Cape Town to Leipzig,,,,,https://www.quicket.co.za/events/318604-from-cape-town-to-leipzig/?preview=t,https://woordfees.co.za/program/from-cape-town-to-leipzig/,,,,,,,,,AFR,from-cape-town-to-leipzig,
GAT,,,,,https://www.quicket.co.za/events/319589-gat/?preview=t,https://woordfees.co.za/program/gat/,,,,,,,,,AFR,gat,
GENZ IRL,,,,,,https://woordfees.co.za/program/naggesprekke-driftig-in-die-doker-genz-irl/,,,,,,,,,AFR,genz-irl,
Gabriel’s Oboe,,,,,https://www.quicket.co.za/events/318606-gabriels-oboe/?preview=t,https://woordfees.co.za/program/gabriels-oboe/,,,,,,,,,AFR,gabriels-oboe,
"Gayle, taal van verset",,,,,,https://woordfees.co.za/program/gesprekke-oor-afrikaans-gayle-kodetaal-van-die-liefde/,,,,,,,,,AFR,gayle-taal-van-verset,
Gebou soos Steffi Graf,,,,,https://www.quicket.co.za/events/319756-gebou-soos-steffi-graf?preview=t#/,https://woordfees.co.za/program/gebou-soos-steffi-graf/,,,,,,,,,AFR,gebou-soos-steffi-graf,
Gerda Taljaard: Die grafdigter,,,,,https://www.quicket.co.za/events/319645-gerda-taljaard-die-grafdigter/?preview=t,https://woordfees.co.za/program/gerda-taljaard-die-grafdigter/,,,,,,,,,AFR,gerda-taljaard-die-grafdigter,
"Geseënd, gewild, gelees",,,,,https://www.quicket.co.za/events/319646-gesend-gewild-gelees/#/,https://woordfees.co.za/program/geseend-gewild-gelees/,,,,,,,,,AFR,geseënd-gewild-gelees,
Geskiedenisdag: Historiese boeke,,,,,https://www.quicket.co.za/events/320492-geskiedenisdag-dagkaartjie/?ref=events-list#/,https://woordfees.co.za/program/geskiedenisdag-historiese-boeke/,,,,,,,,,AFR,geskiedenisdag-historiese-boeke,
Geslagsregister: Die politiek vanfamilieboerdery,,,,,,https://woordfees.co.za/program/geslagsregister-die-politiek-vanfamilieboerdery/,,,,,,,,,AFR,geslagsregister-die-politiek-vanfamilieboerdery,
Gesprekke en menings: Filosofiekafee,,,,,https://www.quicket.co.za/events/318673-filosofiekafee/?preview=t#/,https://woordfees.co.za/program/gesprekke-en-menings-filosofiekafee/,,,,,,,,,AFR,gesprekke-en-menings-filosofiekafee,
Grommels,,,,,https://www.quicket.co.za/events/318610-grommels/?preview=t,https://woordfees.co.za/program/grommels/,,,,,,,,,AFR,grommels,
Généalogie de la violence (genealogie van geweld),,,,,,https://woordfees.co.za/program/genealogie-de-la-violence-genealogie-van-geweld/,,,,,,,,,AFR,généalogie-de-la-violence-genealogie-van-geweld,
Hentie van der Merwe: After de Jongh,,,,,,https://woordfees.co.za/program/hentie-van-der-merwe-after-de-jongh/,,,,,,,,,AFR,hentie-van-der-merwe-after-de-jongh,
High School Poetry Slam,,,,,https://www.quicket.co.za/events/320279-high-school-poetry-slam/?preview=t,https://woordfees.co.za/program/high-school-poetry-slam/,,,,,,,,,AFR,high-school-poetry-slam,
Hoe speel die orrel sit-sit so?,,,,,https://www.quicket.co.za/events/319753-hoe-speel-die-orrel-sit-sit-so/?preview=t,https://woordfees.co.za/program/hoe-speel-die-orrel-sit-sit-so/,,,,,,,,,AFR,hoe-speel-die-orrel-sit-sit-so,
Hollywood on the Veld,,,,,https://www.quicket.co.za/events/319650-hollywood-on-the-veld/?preview=t,https://woordfees.co.za/program/hollywood-on-the-veld/,,,,,,,,,AFR,hollywood-on-the-veld,
Hoort,,,,,https://www.quicket.co.za/events/318614-hoort/?preview=t,https://woordfees.co.za/program/hoort/,,,,,,,,,AFR,hoort,
Hortjies dig: Die storie van die digter Peter Blum,,,,,https://www.quicket.co.za/events/318676-hortjies-dig-die-storie-van-digter-peter-blum/?preview=t,https://woordfees.co.za/program/hortjies-dig-die-storie-van-die-digter-peter-blum/,,,,,,,,,AFR,hortjies-dig-die-storie-van-die-digter-peter-blum,
Huis van sand,,,,,https://www.quicket.co.za/events/318521-huis-van-sand/?preview=t,https://woordfees.co.za/program/huis-van-sand/,,,,,,,,,AFR,huis-van-sand,
